"PID","JAR","FORMAT","STEP","START","END","DURATION","ORDER","complexity_score","STEP_CODE","COMPLEXITY"
"P03","jar1","APP","Step 5",00:02:41.9,00:03:31.1,49.1999998092651,"APP_FIRST",5,"S05","medium"
"P03","jar1","APP","Step 6",00:03:31.1,00:03:46.7,15.6000001430511,"APP_FIRST",2,"S06","low"
"P03","jar1","APP","Step 7",00:03:46.7,00:04:04.0,17.2999999523163,"APP_FIRST",3,"S07","low"
"P03","jar1","APP","Step 8",00:04:04.0,00:04:27.1,23.0999999046326,"APP_FIRST",2,"S08","low"
"P03","jar1","APP","Step 9",00:04:27.1,00:05:14.1,47,"APP_FIRST",4,"S09","low"
"P03","jar1","APP","Step 10",00:05:14.0,00:05:43.1,29.0999999046326,"APP_FIRST",5,"S10","medium"
"P03","jar1","APP","Step 11",00:05:43.1,00:06:03.4,20.3000001907349,"APP_FIRST",3,"S11","low"
"P03","jar1","APP","Step 12",00:06:03.4,00:06:12.2,8.79999995231628,"APP_FIRST",2,"S12","low"
"P03","jar1","APP","Step 13",00:06:12.2,00:06:31.4,19.2000000476837,"APP_FIRST",3,"S13","low"
"P03","jar1","APP","Step 14",00:06:31.4,00:07:31.3,59.8999998569489,"APP_FIRST",5,"S14","medium"
"P03","jar1","APP","Step 15",00:07:31.3,00:08:15.1,43.7999999523163,"APP_FIRST",7,"S15","medium"
"P03","jar1","APP","Step 16",00:08:15.1,00:08:25.8,10.7000000476837,"APP_FIRST",2,"S16","low"
"P03","jar1","APP","Step 17",00:08:25.8,00:08:37.4,11.6000001430511,"APP_FIRST",6,"S17","medium"
"P03","jar1","APP","Step 16",00:08:37.4,00:08:38.8,1.39999985694885,"APP_FIRST",2,"S16","low"
"P03","jar1","APP","Step 17",00:08:38.8,00:08:57.0,18.2000000476837,"APP_FIRST",6,"S17","medium"
"P03","jar1","APP","Step 18",00:08:57.0,00:09:39.5,42.5,"APP_FIRST",5,"S18","medium"
"P03","jar1","APP","Step 19",00:09:39.5,00:09:51.1,11.5999999046326,"APP_FIRST",6,"S19","medium"
"P03","jar1","APP","Step 20",00:09:51.1,00:09:59.9,8.80000019073486,"APP_FIRST",2,"S20","low"
"P03","jar1","APP","Step 21",00:09:59.9,00:10:33.9,34,"APP_FIRST",6,"S21","medium"
"P03","jar1","APP","Step 22",00:10:33.9,00:12:13.1,99.1999998092651,"APP_FIRST",16,"S22","high"
"P03","jar1","APP","Step 23",00:12:13.1,00:13:14.2,61.1000001430511,"APP_FIRST",6,"S23","medium"
"P03","jar1","APP","Step 24",00:13:14.2,00:13:44.2,30,"APP_FIRST",3,"S24","low"
"P03","jar1","APP","Step 25",00:13:44.2,00:14:07.3,23.0999999046326,"APP_FIRST",3,"S25","low"
"P03","jar1","APP","Step 26",00:14:07.3,00:14:42.6,35.2999999523163,"APP_FIRST",3,"S26","low"
"P03","jar1","APP","Step 27",00:14:42.6,00:15:37.4,54.8000001907349,"APP_FIRST",9,"S27","high"
"P03","jar1","APP","Step 28",00:15:37.4,00:15:45.1,7.69999980926514,"APP_FIRST",6,"S28","medium"
"P03","jar1","APP","Step 28",00:16:16.2,00:16:41.1,24.8999998569489,"APP_FIRST",6,"S28","medium"
"P03","jar1","APP","Step 29",00:16:41.1,00:17:00.5,19.4000000953674,"APP_FIRST",4,"S29","low"
"P03","jar1","APP","Step 28",00:17:23.8,00:17:50.6,26.7999999523163,"APP_FIRST",6,"S28","medium"
"P03","jar1","APP","Step 29",00:17:50.6,00:18:04.0,13.4000000953674,"APP_FIRST",4,"S29","low"
"P03","jar2","BOOKLET","Step 0B",00:00:09.1,00:00:24.5,15.4000000953674,"APP_FIRST",NA,NA,NA
"P03","jar2","BOOKLET","Step 30",00:00:26.4,00:01:10.9,44.5,"APP_FIRST",8,"S30","medium"
"P03","jar2","BOOKLET","Step 31",00:01:10.9,00:02:14.7,63.7999999523163,"APP_FIRST",6,"S31","medium"
"P03","jar2","BOOKLET","Step 32",00:02:15.8,00:02:42.1,26.2999999523163,"APP_FIRST",2,"S32","low"
"P03","jar2","BOOKLET","Step 33",00:02:42.1,00:03:45.3,63.2000000476837,"APP_FIRST",10,"S33","high"
"P03","jar2","BOOKLET","Step 34",00:03:46.7,00:04:19.1,32.3999998569489,"APP_FIRST",8,"S34","medium"
"P03","jar2","BOOKLET","Step 35",00:04:19.1,00:05:19.1,60,"APP_FIRST",7,"S35","medium"
"P03","jar2","BOOKLET","Step 34",00:05:19.1,00:05:38.0,18.9000000953674,"APP_FIRST",8,"S34","medium"
"P03","jar2","BOOKLET","Step 35",00:05:38.0,00:05:41.6,3.59999990463257,"APP_FIRST",7,"S35","medium"
"P03","jar2","BOOKLET","Step 36",00:05:44.1,00:05:56.0,11.9000000953674,"APP_FIRST",4,"S36","low"
"P03","jar2","BOOKLET","Step 37",00:05:56.0,00:06:12.1,16.0999999046326,"APP_FIRST",3,"S37","low"
"P03","jar2","BOOKLET","Step 38",00:06:12.1,00:06:22.2,10.1000001430511,"APP_FIRST",2,"S38","low"
"P03","jar2","BOOKLET","Step 39",00:06:22.2,00:06:50.4,28.2000000476837,"APP_FIRST",5,"S39","medium"
"P03","jar2","BOOKLET","Step 40",00:06:52.2,00:07:09.7,17.5,"APP_FIRST",3,"S40","low"
"P03","jar2","BOOKLET","Step 41",00:07:09.7,00:08:54.2,104.5,"APP_FIRST",12,"S41","high"
"P03","jar2","BOOKLET","Step 42",00:08:55.6,00:09:27.8,32.2000000476837,"APP_FIRST",2,"S42","low"
"P03","jar2","BOOKLET","Step 43",00:09:27.8,00:09:39.4,11.6000001430511,"APP_FIRST",2,"S43","low"
"P03","jar2","BOOKLET","Step 44",00:09:39.4,00:09:54.6,15.1999998092651,"APP_FIRST",3,"S44","low"
"P03","jar2","BOOKLET","Step 45",00:09:55.6,00:11:27.7,92.1000001430511,"APP_FIRST",10,"S45","high"
"P03","jar2","BOOKLET","Step 46",00:11:27.7,00:12:17.0,49.2999999523163,"APP_FIRST",5,"S46","medium"
"P03","jar2","BOOKLET","Step 47",00:12:24.1,00:12:38.9,14.8000001907349,"APP_FIRST",3,"S47","low"
"P03","jar2","BOOKLET","Step 48",00:12:38.8,00:13:30.6,51.7999999523163,"APP_FIRST",5,"S48","medium"
"P03","jar2","BOOKLET","Step 49",00:13:30.6,00:15:13.1,102.5,"APP_FIRST",6,"S49","medium"
"P03","jar2","BOOKLET","Step 50",00:15:13.1,00:15:44.6,31.5,"APP_FIRST",4,"S50","low"
"P03","jar2","BOOKLET","Step 51",00:15:45.7,00:16:06.4,20.7000000476837,"APP_FIRST",8,"S51","medium"
"P03","jar2","BOOKLET","Step 52",00:16:06.3,00:17:13.1,66.7999999523163,"APP_FIRST",4,"S52","low"
"P03","jar2","BOOKLET","Step 53",00:17:13.1,00:17:42.8,29.7000000476837,"APP_FIRST",5,"S53","medium"
